# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_calibration.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
7.09716800	-25.18582479
7.10449222	-21.53789217
7.11181644	-33.92639958
7.11914065	-26.09805139
7.12646487	-26.88629905
7.13378909	-26.41259874
7.14111331	-30.49856070
7.14843753	-23.66364141
7.15576175	-22.00794893
7.16308597	-27.21646293
7.17041019	-29.73088869
7.17773440	-24.48393288
7.18505862	-25.51055781
7.19238284	-25.57104477
7.19970706	-23.53741928
7.20703128	-24.96060038
7.21435550	-36.62131351
7.22167972	-19.66934995
7.22900394	-18.57991786
7.23632816	-31.05880513
7.24365237	-19.25410755
7.25097659	-26.48256416
7.25830081	-19.85768482
7.26562503	-21.21685451
7.27294925	-22.48002231
7.28027347	-21.61179022
7.28759769	-21.46892952
7.29492191	-24.94200720
7.30224612	-45.71168331
7.30957034	-18.30622562
7.31689456	-27.57133397
7.32421878	-19.23914785
7.33154300	-20.94427436
7.33886722	-29.92568922
7.34619144	-27.45983390
7.35351566	-22.47115823
7.36083987	-24.18767751
7.36816409	-24.98161658
7.37548831	-22.76912354
7.38281253	-23.99646330
7.39013675	-25.26298771
7.39746097	-30.60959838
7.40478519	-23.14205849
7.41210941	-23.18046634
7.41943362	-24.84175556
7.42675784	-20.31919665
7.43408206	-23.84758088
7.44140628	-24.28242024
7.44873050	-20.94462300
7.45605472	-22.63509752
7.46337894	-27.82145841
7.47070316	-23.94144328
7.47802737	-23.49027149
7.48535159	-38.92839685
7.49267581	-20.09151349
7.50000003	-28.06287996
7.50732425	-18.80547585
7.51464847	-25.08388512
7.52197269	-26.53920268
7.52929691	-26.95996256
7.53662113	-26.37472203
7.54394534	-24.69831036
7.55126956	-20.15953393
7.55859378	-22.85600048
7.56591800	-32.63259159
7.57324222	-25.67651058
7.58056644	-20.88577636
7.58789066	-23.42443641
7.59521488	-21.92044324
7.60253909	-27.70954342
7.60986331	-25.80038608
7.61718753	-20.08216239
7.62451175	-25.73669039
7.63183597	-29.27904299
7.63916019	-25.50115985
7.64648441	-24.04229393
7.65380863	-22.10607380
7.66113284	-23.64186780
7.66845706	-25.64084240
7.67578128	-25.48084515
7.68310550	-30.53326907
7.69042972	-26.10736493
7.69775394	-23.99981316
7.70507816	-21.48588602
7.71240238	-33.23079885
7.71972659	-23.71117347
7.72705081	-25.03125496
7.73437503	-24.70253764
7.74169925	-26.87791825
7.74902347	-24.46523343
7.75634769	-24.44320563
7.76367191	-33.40521901
7.77099613	-37.69640571
7.77832034	-25.27325067
7.78564456	-21.62777813
7.79296878	-30.66381122
7.80029300	-29.37669619
7.80761722	-20.96038484
7.81494144	-21.30131700
7.82226566	-22.20545741
7.82958988	-19.72863596
7.83691410	-24.53690672
7.84423831	-20.48949010
7.85156253	-48.79500591
7.85888675	-36.18767465
