# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.21245424	-73.25218823
6.21978025	-75.25443706
6.22710625	-79.91201415
6.23443226	-81.63798821
6.24175827	-82.79483822
6.24908428	-83.01870953
6.25641028	-81.71831793
6.26373629	-76.58526624
6.27106230	-78.05825231
6.27838831	-75.66850313
6.28571431	-82.21204854
6.29304032	-77.51667579
6.30036633	-81.10144696
6.30769233	-76.65587759
6.31501834	-80.06242618
6.32234435	-82.74441337
6.32967036	-75.41072459
6.33699636	-77.72079521
6.34432237	-73.60452008
6.35164838	-79.24803826
6.35897439	-76.78324775
6.36630039	-86.52353571
6.37362640	-82.22392052
6.38095241	-78.65266520
6.38827842	-72.00078041
6.39560442	-69.08423546
6.40293043	-75.64301427
6.41025644	-82.93088101
6.41758244	-79.73593260
6.42490845	-73.76685717
6.43223446	-82.19392459
6.43956047	-74.55381657
6.44688647	-81.40397333
6.45421248	-81.10495660
6.46153849	-87.31362965
6.46886450	-75.69843281
6.47619050	-83.44446801
6.48351651	-79.55695797
6.49084252	-80.92447054
6.49816853	-82.98689167
6.50549453	-77.02132520
6.51282054	-86.07335372
6.52014655	-76.68853698
6.52747256	-87.30941138
6.53479856	-80.81264472
6.54212457	-89.16624673
6.54945058	-91.77474117
6.55677658	-80.04445605
6.56410259	-77.81218988
6.57142860	-76.96544466
6.57875461	-74.01903547
6.58608061	-75.70703589
6.59340662	-85.54906050
6.60073263	-87.65989564
6.60805864	-82.39917270
6.61538464	-84.39235318
6.62271065	-76.94264715
6.63003666	-79.10322795
6.63736267	-83.80953374
6.64468867	-82.33223386
6.65201468	-74.74892786
6.65934069	-73.59090108
6.66666670	-73.76116616
6.67399270	-72.14719214
6.68131871	-80.34983442
6.68864472	-75.51952435
6.69597072	-83.44871824
6.70329673	-79.87697509
6.71062274	-88.12727570
6.71794875	-85.32560162
6.72527475	-81.06256022
6.73260076	-81.12886555
6.73992677	-90.38484682
6.74725278	-71.50728263
6.75457878	-74.79561020
6.76190479	-75.45409849
6.76923080	-76.16125141
6.77655681	-80.16294538
6.78388281	-74.97805549
6.79120882	-82.24059554
6.79853483	-81.95851188
6.80586083	-80.26739073
6.81318684	-73.59475565
6.82051285	-78.70871531
6.82783886	-77.06353246
6.83516486	-78.79841927
6.84249087	-76.27881288
6.84981688	-81.37413811
6.85714289	-81.57815161
6.86446889	-87.50118244
6.87179490	-86.72484584
6.87912091	-80.80261720
6.88644692	-72.14973062
6.89377292	-74.71063773
6.90109893	-82.33475399
6.90842494	-90.41901739
6.91575095	-84.14503729
6.92307695	-75.26945368
6.93040296	-75.29607785
6.93772897	-72.33007391
6.94505497	-73.01282263
6.95238098	-78.33698570
6.95970699	-73.20964911
6.96703300	-77.79790731
6.97435900	-77.11663756
6.98168501	-80.21779165
6.98901102	-77.20687509
6.99633703	-84.79517534
7.00366303	-89.75232128
7.01098904	-83.19523162
7.01831505	-82.90754328
7.02564106	-82.12607986
7.03296706	-77.09939774
7.04029307	-89.07294329
7.04761908	-78.53307996
7.05494508	-82.58299591
7.06227109	-76.05340627
7.06959710	-81.87837289
7.07692311	-77.97694151
7.08424911	-74.54342066
7.09157512	-86.07791048
7.09890113	-73.38448501
7.10622714	-76.35691938
7.11355314	-72.37271097
