# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.84615386	-77.80667504
5.85347986	-75.13175094
5.86080587	-82.43510999
5.86813188	-71.78499005
5.87545789	-81.23805193
5.88278389	-79.29083339
5.89010990	-79.39330655
5.89743591	-76.03992558
5.90476192	-73.97065785
5.91208792	-83.70015488
5.91941393	-73.01995544
5.92673994	-89.45868560
5.93406594	-80.85787561
5.94139195	-73.08487857
5.94871796	-83.95592590
5.95604397	-73.44964728
5.96336997	-75.05612292
5.97069598	-76.72266707
5.97802199	-72.91230943
5.98534800	-78.84021509
5.99267400	-77.32399342
6.00000001	-78.74340360
6.00732602	-74.35854722
6.01465203	-71.81871872
6.02197803	-70.96518339
6.02930404	-75.01183486
6.03663005	-75.44982515
6.04395605	-80.96894894
6.05128206	-73.46706881
6.05860807	-84.28520606
6.06593408	-74.35650165
6.07326008	-79.12489957
6.08058609	-92.91638777
6.08791210	-79.10280651
6.09523811	-75.00509928
6.10256411	-75.96120252
6.10989012	-77.44999936
6.11721613	-76.88246324
6.12454214	-73.96768505
6.13186814	-84.29718098
6.13919415	-81.28418981
6.14652016	-78.16031607
6.15384616	-77.01986051
6.16117217	-81.85454542
6.16849818	-74.40022221
6.17582419	-77.01753211
6.18315019	-87.08085241
6.19047620	-83.65981331
6.19780221	-75.54378044
6.20512822	-81.10929271
6.21245422	-72.23088093
6.21978023	-74.98537256
6.22710624	-78.99088900
6.23443225	-70.83768681
6.24175825	-75.03249733
6.24908426	-76.50644466
6.25641027	-76.69188646
6.26373627	-83.58232412
6.27106228	-83.08436967
6.27838829	-77.02942923
6.28571430	-75.33623962
6.29304030	-73.01149051
6.30036631	-75.36902034
6.30769232	-85.47379076
6.31501833	-86.53584968
6.32234433	-80.26174353
6.32967034	-85.21556010
6.33699635	-84.67378883
6.34432236	-73.58602102
6.35164836	-73.31117110
6.35897437	-84.97966940
6.36630038	-81.23845659
6.37362638	-86.04984101
6.38095239	-78.59052707
6.38827840	-80.70080730
6.39560441	-81.72024640
6.40293041	-75.24970805
6.41025642	-82.20328050
6.41758243	-77.60453587
6.42490844	-79.08608077
6.43223444	-79.23685933
6.43956045	-83.23850419
6.44688646	-89.51041141
6.45421247	-86.79647142
6.46153847	-85.99078766
6.46886448	-86.49489894
6.47619049	-87.52908298
6.48351650	-83.13785327
6.49084250	-74.33958857
6.49816851	-77.06190207
6.50549452	-88.22202245
6.51282052	-84.60856969
6.52014653	-112.37215094
6.52747254	-81.88044248
6.53479855	-75.05490467
6.54212455	-77.33797695
6.54945056	-73.40451478
6.55677657	-92.36796428
6.56410258	-75.36492683
6.57142858	-86.36669803
6.57875459	-77.40949104
6.58608060	-83.20618482
6.59340661	-73.26307864
6.60073261	-76.90004381
6.60805862	-82.89944513
6.61538463	-80.17801764
6.62271063	-74.73795669
6.63003664	-80.20841168
6.63736265	-72.28705954
6.64468866	-69.77631231
6.65201466	-73.26461439
6.65934067	-77.60129580
6.66666668	-72.60271413
6.67399269	-83.71822806
6.68131869	-75.39229958
6.68864470	-82.45299244
6.69597071	-81.12775719
6.70329672	-82.45774748
6.71062272	-92.58768986
6.71794873	-83.24492891
6.72527474	-74.28001160
6.73260074	-77.90268417
6.73992675	-74.14059664
6.74725276	-73.07183303
6.75457877	-80.45624932
6.76190477	-86.72543858
6.76923078	-78.13890540
6.77655679	-77.73418659
6.78388280	-75.58314752
6.79120880	-90.55642886
6.79853481	-73.53633439
6.80586082	-76.59683316
6.81318683	-72.46808123
6.82051283	-79.55038004
6.82783884	-94.81637888
6.83516485	-83.98480489
6.84249085	-81.22546088
6.84981686	-82.90537390
6.85714287	-77.55512588
6.86446888	-72.95784735
6.87179488	-75.55606996
6.87912089	-74.49072130
6.88644690	-74.19393418
6.89377291	-86.92561330
6.90109891	-81.59505067
6.90842492	-80.95828139
6.91575093	-81.09322042
6.92307694	-80.45783675
6.93040294	-86.39436750
6.93772895	-79.51633821
6.94505496	-73.93604091
6.95238096	-79.64502821
6.95970697	-80.09500873
6.96703298	-78.27851359
6.97435899	-81.78668284
6.98168499	-79.44950113
6.98901100	-80.12939150
6.99633701	-91.46716787
7.00366302	-77.52568916
7.01098902	-76.87977980
7.01831503	-74.10160395
7.02564104	-79.92908347
7.03296705	-71.85474984
7.04029305	-84.79339039
7.04761906	-71.32410276
7.05494507	-76.27896609
7.06227107	-76.62129008
7.06959708	-80.57035378
7.07692309	-76.05286951
7.08424910	-81.96762762
7.09157510	-85.19519158
7.09890111	-79.17534899
7.10622712	-73.95132759
7.11355313	-78.23099203
7.12087913	-98.12829507
7.12820514	-79.39767951
7.13553115	-72.09064699
7.14285716	-82.82952895
7.15018316	-96.77820957
7.15750917	-73.09587117
7.16483518	-77.25774807
7.17216118	-74.43818270
7.17948719	-75.12983194
7.18681320	-85.26596439
7.19413921	-83.79821115
7.20146521	-78.06853117
7.20879122	-89.38937916
7.21611723	-73.48081189
7.22344324	-74.87658894
7.23076924	-73.47741588
7.23809525	-77.18482322
7.24542126	-74.60248737
7.25274727	-74.50845644
7.26007327	-82.36390533
7.26739928	-80.85928843
7.27472529	-84.30920390
7.28205130	-77.82627599
7.28937730	-85.27029677
7.29670331	-78.07704523
7.30402932	-74.22546615
7.31135532	-74.79670310
7.31868133	-84.65213761
7.32600734	-78.47283184
7.33333335	-78.60711497
7.34065935	-80.60350408
7.34798536	-80.58156927
7.35531137	-81.39862679
7.36263738	-78.17628996
7.36996338	-89.92986934
7.37728939	-85.64998995
7.38461540	-82.37330599
7.39194141	-81.53709606
7.39926741	-76.05862917
7.40659342	-79.26765214
7.41391943	-73.87885149
7.42124543	-80.60520385
7.42857144	-77.52723197
7.43589745	-91.55983354
7.44322346	-71.07531359
7.45054946	-75.38154418
7.45787547	-76.49745227
7.46520148	-77.88914257
7.47252749	-77.67517755
7.47985349	-75.23964735
7.48717950	-74.25425376
7.49450551	-76.67962079
7.50183152	-77.41689356
7.50915752	-77.48603087
7.51648353	-89.45760719
7.52380954	-82.32632702
7.53113554	-80.63788019
7.53846155	-82.37740753
7.54578756	-74.11885222
7.55311357	-81.91974026
7.56043957	-72.24857330
7.56776558	-71.29845295
7.57509159	-79.90318868
