# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-307.16666675	0.00090822
-307.13333341	0.00066837
-307.10000008	0.00077652
-307.06666675	0.00062940
-307.03333341	0.00067714
-307.00000008	0.00055562
-306.96666675	0.00073047
-306.93333341	0.00066130
-306.90000008	0.00070292
-306.86666675	0.00073647
-306.83333341	0.00087416
-306.80000008	0.00078053
-306.76666675	0.00073536
-306.73333341	0.00054862
-306.70000008	0.00095892
-306.66666675	0.00070526
-306.63333341	0.00075777
-306.60000008	0.00054413
-306.56666675	0.00075247
-306.53333342	0.00050495
-306.50000008	0.00071129
-306.46666675	0.00077072
-306.43333342	0.00082559
-306.40000008	0.00074879
-306.36666675	0.00056565
-306.33333342	0.00066112
-306.30000008	0.00065447
-306.26666675	0.00087402
-306.23333342	0.00100652
-306.20000008	0.00122643
-306.16666675	0.00074049
-306.13333342	0.00088087
-306.10000008	0.00084939
-306.06666675	0.00076923
-306.03333342	0.00058994
-306.00000008	0.00066761
-305.96666675	0.00076229
-305.93333342	0.00077773
-305.90000008	0.00085800
-305.86666675	0.00096350
-305.83333342	0.00103616
-305.80000008	0.00095651
-305.76666675	0.00091409
-305.73333342	0.00074163
-305.70000009	0.00067794
-305.66666675	0.00037899
-305.63333342	0.00051193
-305.60000009	0.00076926
-305.56666675	0.00064917
-305.53333342	0.00069580
-305.50000009	0.00067674
-305.46666675	0.00045190
-305.43333342	0.00052729
-305.40000009	0.00071227
-305.36666675	0.00082500
-305.33333342	0.00095564
-305.30000009	0.00066406
-305.26666675	0.00055143
-305.23333342	0.00082358
-305.20000009	0.00054491
-305.16666675	0.00081956
-305.13333342	0.00041920
-305.10000009	0.00071809
-305.06666675	0.00062386
-305.03333342	0.00080125
-305.00000009	0.00081915
-304.96666676	0.00074634
-304.93333342	0.00081924
-304.90000009	0.00066524
-304.86666676	0.00062350
-304.83333342	0.00074287
-304.80000009	0.00061312
-304.76666676	0.00047071
-304.73333342	0.00054898
-304.70000009	0.00076057
-304.66666676	0.00044496
-304.63333342	0.00041838
-304.60000009	0.00074026
-304.56666676	0.00067630
-304.53333342	0.00073035
-304.50000009	0.00052224
-304.46666676	0.00032683
-304.43333342	0.00036323
-304.40000009	0.00055954
-304.36666676	0.00059336
-304.33333342	0.00054788
-304.30000009	0.00063880
-304.26666676	0.00049815
-304.23333342	0.00016695
-304.20000009	0.00045373
-304.16666676	0.00042230
-304.13333343	0.00062403
-304.10000009	0.00066786
-304.06666676	0.00040965
-304.03333343	0.00064222
-304.00000009	0.00039590
-303.96666676	0.00034157
-303.93333343	0.00050247
-303.90000009	0.00050075
-303.86666676	0.00048071
-303.83333343	0.00050812
-303.80000009	0.00037727
-303.76666676	0.00029754
-303.73333343	0.00019371
-303.70000009	0.00040914
-303.66666676	0.00061033
-303.63333343	0.00037049
-303.60000009	0.00042310
-303.56666676	0.00013431
-303.53333343	0.00023709
-303.50000009	0.00025484
-303.46666676	0.00043379
-303.43333343	0.00000815
-303.40000010	0.00026797
-303.36666676	-0.00011285
-303.33333343	0.00037875
-303.30000010	-0.00001258
-303.26666676	0.00029601
-303.23333343	0.00031831
-303.20000010	-0.00003783
-303.16666676	0.00026560
-303.13333343	0.00015415
-303.10000010	-0.00001362
-303.06666676	0.00009102
-303.03333343	0.00023757
-303.00000010	0.00014359
-302.96666676	0.00023049
-302.93333343	0.00009955
-302.90000010	0.00008283
-302.86666676	0.00004875
-302.83333343	-0.00005851
-302.80000010	0.00018002
-302.76666676	0.00009263
-302.73333343	0.00005142
-302.70000010	0.00004208
-302.66666676	-0.00004190
-302.63333343	-0.00014886
-302.60000010	0.00004179
-302.56666677	-0.00017121
-302.53333343	-0.00007543
-302.50000010	-0.00008054
-302.46666677	0.00028734
-302.43333343	0.00019194
-302.40000010	0.00007153
-302.36666677	0.00002651
-302.33333343	0.00001353
-302.30000010	0.00002577
-302.26666677	-0.00002160
-302.23333343	0.00008253
-302.20000010	0.00023499
-302.16666677	0.00018097
-302.13333343	0.00005556
-302.10000010	0.00031513
-302.06666677	0.00036436
-302.03333343	0.00039975
-302.00000010	0.00021787
-301.96666677	0.00030106
-301.93333343	0.00033219
-301.90000010	0.00003352
-301.86666677	0.00024968
-301.83333344	0.00023361
-301.80000010	0.00003605
-301.76666677	0.00053436
-301.73333344	0.00031413
-301.70000010	0.00046776
-301.66666677	0.00017488
-301.63333344	0.00032946
-301.60000010	0.00039448
-301.56666677	0.00047645
-301.53333344	0.00023643
-301.50000010	0.00030883
-301.46666677	0.00050700
-301.43333344	0.00058794
-301.40000010	0.00060570
-301.36666677	0.00051734
-301.33333344	0.00069350
-301.30000010	0.00056028
-301.26666677	0.00057714
-301.23333344	0.00049999
-301.20000010	0.00052539
-301.16666677	0.00064283
-301.13333344	0.00077507
-301.10000010	0.00059875
-301.06666677	0.00084007
-301.03333344	0.00086765
-301.00000011	0.00099416
-300.96666677	0.00107530
-300.93333344	0.00055919
-300.90000011	0.00064981
-300.86666677	0.00083451
-300.83333344	0.00064853
-300.80000011	0.00076078
-300.76666677	0.00093392
-300.73333344	0.00081158
-300.70000011	0.00081405
-300.66666677	0.00030414
-300.63333344	0.00072858
-300.60000011	0.00043603
-300.56666677	0.00029438
-300.53333344	0.00048743
-300.50000011	0.00045850
-300.46666677	0.00014505
-300.43333344	0.00012922
-300.40000011	0.00025590
-300.36666677	0.00041161
-300.33333344	0.00055169
-300.30000011	0.00072054
-300.26666678	0.00041354
-300.23333344	0.00035963
-300.20000011	0.00023247
-300.16666678	0.00001034
-300.13333344	0.00037417
-300.10000011	0.00032347
-300.06666678	-0.00001581
-300.03333344	0.00001039
-300.00000011	0.00026543
-299.96666678	-0.00012621
-299.93333344	-0.00028825
-299.90000011	-0.00012611
-299.86666678	-0.00011984
-299.83333344	-0.00014996
-299.80000011	-0.00012167
-299.76666678	-0.00020260
-299.73333344	-0.00042239
-299.70000011	-0.00019393
-299.66666678	-0.00014786
-299.63333344	-0.00035010
-299.60000011	-0.00040628
-299.56666678	-0.00040762
-299.53333344	-0.00028616
-299.50000011	-0.00045292
-299.46666678	-0.00048347
-299.43333345	0.00001005
-299.40000011	-0.00053628
-299.36666678	-0.00049245
-299.33333345	-0.00024078
-299.30000011	-0.00042760
-299.26666678	-0.00033513
-299.23333345	-0.00040678
-299.20000011	-0.00038489
-299.16666678	-0.00037999
-299.13333345	-0.00039436
-299.10000011	-0.00016374
-299.06666678	-0.00033192
-299.03333345	-0.00049422
-299.00000011	-0.00001937
-298.96666678	-0.00004240
-298.93333345	-0.00004104
-298.90000011	-0.00031429
-298.86666678	-0.00006151
-298.83333345	-0.00020653
-298.80000011	0.00005540
-298.76666678	0.00031587
-298.73333345	0.00022828
-298.70000012	0.00038451
-298.66666678	0.00020774
-298.63333345	0.00015655
-298.60000012	0.00019666
-298.56666678	0.00053596
-298.53333345	0.00077991
-298.50000012	0.00065062
-298.46666678	0.00084163
-298.43333345	0.00105687
-298.40000012	0.00112484
-298.36666678	0.00109267
-298.33333345	0.00134858
-298.30000012	0.00149861
-298.26666678	0.00155154
-298.23333345	0.00134631
-298.20000012	0.00170334
-298.16666678	0.00188233
-298.13333345	0.00214763
-298.10000012	0.00194494
-298.06666678	0.00212752
-298.03333345	0.00227143
-298.00000012	0.00198426
-297.96666678	0.00248176
-297.93333345	0.00273706
-297.90000012	0.00280876
-297.86666679	0.00273032
-297.83333345	0.00285791
