# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.50183153	-75.87296812
5.50915753	-77.14748744
5.51648354	-84.90277598
5.52380955	-76.65592310
5.53113555	-78.98397233
5.53846156	-77.18105884
5.54578757	-73.48123906
5.55311358	-77.42842353
5.56043958	-76.25466448
5.56776559	-73.10334543
5.57509160	-85.18745271
5.58241761	-71.93172061
5.58974361	-72.56593452
5.59706962	-80.10893847
5.60439563	-82.59420983
5.61172164	-79.47723900
5.61904764	-75.09989200
5.62637365	-89.68396502
5.63369966	-72.96242040
5.64102567	-77.87857235
5.64835167	-81.20704786
5.65567768	-85.48030377
5.66300369	-76.71848167
5.67032969	-76.46778493
5.67765570	-76.48358214
5.68498171	-82.38528802
5.69230772	-92.76422404
5.69963372	-80.28603142
5.70695973	-77.35209392
5.71428574	-82.16452225
5.72161175	-75.96139686
5.72893775	-79.35068335
5.73626376	-74.97444653
5.74358977	-78.44093990
5.75091578	-76.77102081
5.75824178	-80.12376269
5.76556779	-78.40726700
5.77289380	-80.37077096
5.78021980	-85.63032857
5.78754581	-81.40472832
5.79487182	-78.29099714
5.80219783	-91.72210646
5.80952383	-75.92090041
5.81684984	-87.91551759
5.82417585	-77.20980044
5.83150186	-91.59984029
5.83882786	-80.71240043
5.84615387	-92.26779198
5.85347988	-82.67187100
5.86080589	-74.45262765
5.86813189	-72.01009306
5.87545790	-79.61297573
5.88278391	-82.51435782
5.89010992	-84.38182180
5.89743592	-75.77778926
5.90476193	-73.08513855
5.91208794	-72.19747076
5.91941394	-90.40769764
5.92673995	-80.53307498
5.93406596	-77.11238671
5.94139197	-76.69019505
5.94871797	-85.29771286
5.95604398	-70.15852974
5.96336999	-72.48404373
5.97069600	-78.44002524
5.97802200	-75.38974174
5.98534801	-71.56804924
5.99267402	-83.22363581
6.00000003	-78.60675406
6.00732603	-76.51531284
6.01465204	-72.36126404
6.02197805	-78.93908628
6.02930405	-77.90214010
6.03663006	-90.46011468
6.04395607	-77.78679406
6.05128208	-76.16439015
6.05860808	-77.89432141
6.06593409	-80.19308571
6.07326010	-73.96620073
6.08058611	-80.15357105
6.08791211	-75.84148427
6.09523812	-83.92108212
6.10256413	-76.08211468
6.10989014	-82.62467854
6.11721614	-81.40932094
6.12454215	-75.23043747
6.13186816	-74.48306558
6.13919417	-85.79641795
6.14652017	-81.41629367
6.15384618	-81.98268113
6.16117219	-84.53933209
6.16849819	-75.03544260
6.17582420	-77.79147501
6.18315021	-79.16607848
6.19047622	-75.83283118
6.19780222	-79.40511576
6.20512823	-74.77909978
6.21245424	-79.50441295
6.21978025	-87.67410286
6.22710625	-80.84097314
6.23443226	-73.71475957
6.24175827	-73.91815297
6.24908428	-76.29443392
6.25641028	-84.74709217
6.26373629	-75.13339875
6.27106230	-80.23726475
6.27838831	-71.59493775
6.28571431	-77.03336356
6.29304032	-82.41690853
6.30036633	-75.76139230
6.30769233	-81.61912534
6.31501834	-73.41087739
6.32234435	-73.89532671
6.32967036	-71.83214291
6.33699636	-75.01038850
6.34432237	-75.55524436
6.35164838	-83.00551082
6.35897439	-79.96489568
6.36630039	-74.95076951
6.37362640	-82.68854989
6.38095241	-80.01185812
6.38827842	-81.91942537
6.39560442	-85.77817871
6.40293043	-77.07157586
6.41025644	-80.30945215
6.41758244	-83.38276277
6.42490845	-80.62115466
6.43223446	-91.10577948
6.43956047	-75.27205562
6.44688647	-75.27564536
6.45421248	-86.48282638
6.46153849	-77.66836909
6.46886450	-74.38728570
6.47619050	-75.62979291
6.48351651	-97.80068445
6.49084252	-82.98299974
6.49816853	-87.14229375
6.50549453	-82.44059478
6.51282054	-88.77583473
6.52014655	-77.79592264
6.52747256	-80.99890028
6.53479856	-70.78891411
6.54212457	-74.53840134
6.54945058	-83.38262851
6.55677658	-74.68909026
6.56410259	-75.32478787
6.57142860	-76.13089328
6.57875461	-72.59267488
6.58608061	-78.82097735
6.59340662	-74.20841366
